t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,0.02035958,-4.654788,-4.641027,0.09754963,0.14167917,875.05,1.4207,Single Spike,30.0
1,0.05127940,-4.459192,-4.677336,0.10757189,0.18229285,915.24,1.1933,Single Spike,30.0
2,-0.19420250,-4.492531,-4.351459,0.10579358,0.22651552,762.05,-0.5247,Single Spike,30.0
3,0.03325175,-4.491322,-4.481628,0.10585757,0.23814778,855.34,1.2977,Single Spike,30.0
4,-0.08961873,-4.556403,-4.445594,0.10246835,0.26165670,867.05,0.7123,Single Spike,30.0
5,0.08148469,-4.513415,-4.419785,0.10469463,0.28764290,868.83,0.8111,Single Spike,30.0
6,0.04099477,-4.316946,-4.510273,0.11550138,0.31805634,852.87,1.2560,Single Spike,30.0
7,-0.15010713,-4.080271,-4.275710,0.13001111,0.31894284,810.03,-0.0383,Single Spike,30.0
8,-0.06693952,-4.024688,-4.371995,0.13367499,0.31599906,879.47,0.9841,Single Spike,30.0
9,0.00102928,-4.198010,-4.548386,0.12257831,0.35245615,157.81,1.9639,Single Spike,30.0
10,0.18610585,-3.882381,-4.196213,0.14353295,0.36184895,730.65,-0.4973,Single Spike,30.0
11,-0.00650473,-3.927949,-4.412026,0.14029966,0.35211343,501.43,1.6526,Single Spike,30.0
12,0.25920972,-3.776649,-3.937352,0.15132517,0.37715945,624.32,-1.0935,Single Spike,30.0
13,-0.11209771,-4.015993,-3.959389,0.13425742,0.32822293,854.65,0.4765,Single Spike,30.0
14,-0.13982931,-3.934174,-3.931430,0.13986367,0.33549279,854.07,0.2285,Single Spike,30.0
15,0.12779601,-4.093048,-3.952671,0.12918319,0.32805508,874.97,0.3656,Single Spike,30.0
16,-0.10412142,-3.808338,-4.012289,0.14894636,0.31186664,880.59,0.5868,Single Spike,30.0
17,-0.40040347,-3.875958,-3.355243,0.14399464,0.41968149,567.19,-1.7151,Single Spike,30.0
18,0.18532695,-3.976495,-3.406463,0.13693520,0.36457404,844.07,-0.0638,Single Spike,30.0
19,-0.02827148,-4.073963,-3.634339,0.13042182,0.34967241,742.39,1.0384,Single Spike,30.0
20,-0.05765718,-4.321988,-3.762646,0.11521056,0.39332592,827.95,0.8444,Single Spike,30.0
21,0.21960008,-4.045585,-3.526100,0.13228554,0.41999322,801.87,-0.4042,Single Spike,30.0
22,0.13570203,-3.891407,-3.578636,0.14288667,0.40689078,865.44,0.3023,Single Spike,30.0
23,0.27843219,-3.818445,-3.332300,0.14819556,0.43408176,767.90,-0.7872,Single Spike,30.0
24,-0.04279395,-3.699269,-3.533639,0.15729468,0.46396264,815.23,0.9020,Single Spike,30.0
25,-0.11529607,-3.717893,-3.604461,0.15583673,0.44651300,840.76,0.4248,Single Spike,30.0
26,0.04731850,-3.885230,-3.742936,0.14332865,0.40893757,812.61,0.9462,Single Spike,30.0
27,-0.20245124,-3.861247,-3.572649,0.14505775,0.45098665,795.42,-0.3518,Single Spike,30.0
28,0.06891384,-3.747744,-3.804392,0.15352805,0.38221174,848.17,0.8212,Single Spike,30.0
29,-0.10717770,-3.785957,-3.897408,0.15062250,0.36535281,860.58,0.5228,Single Spike,30.0
30,-0.07890632,-3.838015,-4.051152,0.14675254,0.34781295,872.65,0.8009,Single Spike,30.0
31,0.01464120,-3.926716,-4.233760,0.14038619,0.34465089,706.89,1.4242,Single Spike,30.0
32,-0.10025073,-3.920062,-4.203842,0.14085403,0.34640276,856.54,0.5841,Single Spike,30.0
33,0.11407012,-3.748505,-4.177557,0.15346967,0.35411465,838.46,0.4147,Single Spike,30.0
