t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,-0.12021054,-4.638327,-4.513680,0.09835584,0.11138275,988.40,0.5758,Flash Crash,40.0
1,0.04947261,-4.812545,-4.595177,0.09015071,0.11055735,971.24,1.2293,Flash Crash,40.0
2,-0.05403178,-4.884204,-4.634108,0.08697782,0.11003228,968.35,1.2035,Flash Crash,40.0
3,-0.06782768,-4.959530,-4.677404,0.08376291,0.11142711,971.38,1.0904,Flash Crash,40.0
4,0.03742262,-4.689115,-4.727049,0.09588964,0.11078139,940.06,1.3692,Flash Crash,40.0
5,0.16939293,-4.475493,-4.559504,0.10669868,0.12631696,865.08,-0.1623,Flash Crash,40.0
6,0.03367110,-4.400879,-4.591253,0.11075445,0.12294314,934.45,1.3498,Flash Crash,40.0
7,-0.12208098,-4.350766,-4.571492,0.11356467,0.12989615,958.76,0.4780,Flash Crash,40.0
8,-0.03759812,-4.138417,-4.629462,0.12628572,0.12849034,937.14,1.3429,Flash Crash,40.0
9,-0.02824739,-4.178797,-4.726820,0.12376154,0.12564093,923.19,1.4384,Flash Crash,40.0
10,-0.08079439,-4.221574,-4.779130,0.12114260,0.12545866,970.20,0.9608,Flash Crash,40.0
11,0.20428216,-4.125934,-4.526120,0.12707640,0.13468701,753.08,-0.6591,Flash Crash,40.0
12,0.10378105,-4.135395,-4.493325,0.12647666,0.13995352,965.79,0.6981,Flash Crash,40.0
13,0.00368931,-4.204521,-4.602606,0.12217995,0.13495779,724.87,1.5000,Flash Crash,40.0
14,0.14100514,-3.944514,-4.534037,0.13914247,0.14249009,917.85,0.2186,Flash Crash,40.0
15,0.01053019,-3.914675,-4.609156,0.14123397,0.13518570,824.69,1.4884,Flash Crash,40.0
16,0.00667737,-4.116125,-4.765040,0.12770115,0.13008279,804.49,1.5738,Flash Crash,40.0
17,-0.21421298,-4.213265,-4.525012,0.12164693,0.15108413,713.05,-0.7859,Flash Crash,40.0
18,-0.05706864,-4.118616,-4.547979,0.12754220,0.15740846,956.35,1.1631,Flash Crash,40.0
19,0.00380610,-4.132409,-4.674942,0.12666562,0.14815134,715.49,1.5630,Flash Crash,40.0
20,-0.11730660,-4.501205,-4.660985,0.10533572,0.14436132,941.17,0.5024,Flash Crash,40.0
21,0.06611792,-4.668133,-4.705614,0.09690091,0.13978131,969.78,1.1189,Flash Crash,40.0
22,0.00688818,-4.803010,-4.817807,0.09058155,0.12727101,804.87,1.5977,Flash Crash,40.0
23,0.01372104,-4.680471,-4.948414,0.09630496,0.11862412,864.49,1.6293,Flash Crash,40.0
24,0.04523147,-4.465883,-5.044571,0.10721261,0.11143956,965.99,1.4101,Flash Crash,40.0
25,0.00948362,-4.470079,-5.155910,0.10698788,0.10446647,847.38,1.7398,Flash Crash,40.0
26,-0.05014733,-4.656027,-5.238847,0.09748920,0.09600680,973.91,1.3957,Flash Crash,40.0
27,-0.14979750,-4.649947,-5.058866,0.09778602,0.10509059,789.81,-0.2340,Flash Crash,40.0
28,0.14373675,-4.729072,-4.916313,0.09399290,0.11700305,843.66,-0.0056,Flash Crash,40.0
