t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,0.02604190,-4.613964,-4.636868,0.09956130,0.14189136,902.15,1.3858,Gradual Build,25.0
1,-0.05279415,-4.670694,-4.673193,0.09677688,0.18188208,916.85,1.1803,Gradual Build,25.0
2,0.04018157,-4.546346,-4.698174,0.10298488,0.20000562,886.90,1.3072,Gradual Build,25.0
3,0.13479710,-4.575062,-4.555848,0.10151678,0.22595762,844.76,0.1425,Gradual Build,25.0
4,-0.08957040,-4.599176,-4.526856,0.10030016,0.24981314,873.69,0.7218,Gradual Build,25.0
5,0.00985326,-4.605614,-4.616941,0.09997783,0.26789504,625.52,1.6522,Gradual Build,25.0
6,-0.04697738,-4.660737,-4.677316,0.09725992,0.29892111,856.07,1.2202,Gradual Build,25.0
7,0.05716880,-4.746945,-4.687500,0.09315668,0.28140014,856.77,1.1024,Gradual Build,25.0
8,-0.00981256,-4.443438,-4.845870,0.10842259,0.27664879,691.72,1.7423,Gradual Build,25.0
9,0.01195866,-4.564391,-4.980915,0.10205991,0.31345803,726.54,1.7775,Gradual Build,25.0
10,-0.01130378,-4.622630,-5.073948,0.09913082,0.29730397,733.07,1.8493,Gradual Build,25.0
11,-0.14293094,-4.796311,-4.710541,0.09088542,0.32688791,724.89,-0.2475,Gradual Build,25.0
12,-0.11190570,-4.979740,-4.636260,0.08292076,0.32081980,818.42,0.3196,Gradual Build,25.0
13,0.00400597,-4.704823,-4.779799,0.09513946,0.31478566,420.72,1.9059,Gradual Build,25.0
14,0.26724172,-4.666202,-4.037454,0.09699452,0.35277593,539.57,-1.2725,Gradual Build,25.0
15,-0.10338074,-4.503857,-4.094967,0.10519615,0.29626602,858.27,0.5554,Gradual Build,25.0
16,0.06880877,-4.426855,-4.243253,0.10932531,0.30616653,871.17,0.9129,Gradual Build,25.0
17,-0.08162511,-4.460355,-4.278122,0.10750936,0.29882717,874.90,0.8067,Gradual Build,25.0
18,0.08862256,-4.417829,-4.346452,0.10981981,0.30745637,867.26,0.7246,Gradual Build,25.0
19,-0.00842577,-4.290221,-4.576490,0.11705512,0.27911752,617.34,1.6626,Gradual Build,25.0
20,0.10490996,-4.365100,-4.480763,0.11275364,0.26579309,864.17,0.5113,Gradual Build,25.0
21,0.11226392,-4.532895,-4.454854,0.10367984,0.27341896,857.60,0.4282,Gradual Build,25.0
22,0.00090720,-4.417330,-4.642216,0.10984721,0.28737694,180.61,1.9225,Gradual Build,25.0
23,-0.05851826,-4.278471,-4.650727,0.11774480,0.31964546,851.05,1.0939,Gradual Build,25.0
24,0.07363666,-4.229953,-4.669110,0.12063614,0.32068238,846.69,0.8999,Gradual Build,25.0
25,0.23798746,-4.239853,-4.141139,0.12004045,0.37020427,598.97,-1.1130,Gradual Build,25.0
26,-0.04178239,-4.284508,-4.330520,0.11738993,0.29881939,830.47,1.1817,Gradual Build,25.0
27,0.00765827,-4.296447,-4.506135,0.11669126,0.28418380,527.84,1.6806,Gradual Build,25.0
28,0.05242150,-4.325396,-4.620853,0.11501442,0.29395863,844.07,1.1436,Gradual Build,25.0
29,-0.23108031,-4.601646,-4.128783,0.10017636,0.30130562,642.60,-0.9389,Gradual Build,25.0
30,0.06254742,-4.529793,-4.314022,0.10384077,0.30219132,878.59,1.0102,Gradual Build,25.0
31,-0.03834680,-4.670906,-4.481216,0.09676664,0.33468986,852.34,1.2687,Gradual Build,25.0
32,-0.00363399,-5.021499,-4.612286,0.08120736,0.35145414,395.71,1.8338,Gradual Build,25.0
33,0.01363869,-5.135950,-4.758546,0.07669068,0.32997677,699.15,1.6894,Gradual Build,25.0
34,-0.14466546,-5.139891,-4.476771,0.07653971,0.30480078,784.80,-0.0936,Gradual Build,25.0
35,0.01373284,-4.980750,-4.706790,0.08287888,0.26945221,739.70,1.6424,Gradual Build,25.0
36,0.10918595,-4.869918,-4.605138,0.08760134,0.27728456,844.63,0.4065,Gradual Build,25.0
37,0.18329908,-4.792542,-4.354424,0.09105690,0.29023734,733.61,-0.4912,Gradual Build,25.0
38,0.03434294,-4.779099,-4.541945,0.09167098,0.28035158,841.04,1.3169,Gradual Build,25.0
39,0.00241976,-4.526918,-4.690335,0.10399016,0.29622561,342.22,1.9456,Gradual Build,25.0
40,-0.06391592,-4.427829,-4.726738,0.10927205,0.30105418,842.36,1.0038,Gradual Build,25.0
41,0.07533385,-4.631403,-4.755015,0.09869692,0.28551260,856.04,0.8724,Gradual Build,25.0
42,-0.12571104,-4.776677,-4.595888,0.09178207,0.27267790,813.28,0.1542,Gradual Build,25.0
43,0.04555954,-4.674677,-4.736046,0.09658436,0.25731069,856.24,1.2625,Gradual Build,25.0
44,-0.10052878,-4.662546,-4.672605,0.09717196,0.26697877,861.63,0.5236,Gradual Build,25.0
45,-0.10733920,-4.712211,-4.616795,0.09478868,0.26405227,839.94,0.4286,Gradual Build,25.0
46,0.14512131,-4.470691,-4.407380,0.10695519,0.26463878,813.95,-0.0186,Gradual Build,25.0
47,-0.01256564,-4.568756,-4.609478,0.10183738,0.27166581,691.13,1.6066,Gradual Build,25.0
