t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,0.02604190,-4.613964,-4.674829,0.09956130,0.10350803,952.88,1.4037,Gradual Build,10.0
1,-0.05279415,-4.670694,-4.756717,0.09677688,0.10268508,975.35,1.2550,Gradual Build,10.0
2,0.04018157,-4.546346,-4.812891,0.10298488,0.10130699,957.62,1.3727,Gradual Build,10.0
3,0.13479710,-4.575062,-4.728909,0.10151678,0.11169362,916.67,0.2472,Gradual Build,10.0
4,-0.08957040,-4.599176,-4.696507,0.10030016,0.11515628,963.96,0.8389,Gradual Build,10.0
5,0.00985326,-4.605614,-4.754508,0.09997783,0.11649595,860.99,1.5458,Gradual Build,10.0
6,-0.04697738,-4.660737,-4.820041,0.09725992,0.11346699,958.59,1.3331,Gradual Build,10.0
7,0.05716880,-4.746945,-4.877091,0.09315668,0.11452974,971.79,1.2510,Gradual Build,10.0
8,-0.00981256,-4.443438,-4.958714,0.10842259,0.11240961,854.35,1.6436,Gradual Build,10.0
9,0.01195866,-4.564391,-5.062000,0.10205991,0.11027738,853.55,1.6893,Gradual Build,10.0
10,-0.01130378,-4.622630,-5.179249,0.09913082,0.10831487,866.60,1.7455,Gradual Build,10.0
11,-0.14293094,-4.796311,-5.005683,0.09088542,0.11161730,817.61,-0.1083,Gradual Build,10.0
12,-0.11190570,-4.979740,-4.920393,0.08292076,0.12214050,921.55,0.4782,Gradual Build,10.0
13,0.00400597,-4.704823,-5.011189,0.09513946,0.11754625,790.76,1.6996,Gradual Build,10.0
14,0.26724172,-4.666202,-4.417519,0.09699452,0.16123995,570.15,-1.3543,Gradual Build,10.0
15,-0.10338074,-4.503857,-4.353044,0.10519615,0.15759225,952.57,0.6865,Gradual Build,10.0
16,0.06880877,-4.426855,-4.425701,0.10932531,0.14963956,963.66,1.0408,Gradual Build,10.0
17,-0.08162511,-4.460355,-4.490919,0.10750936,0.14518562,971.45,0.9393,Gradual Build,10.0
18,0.08862256,-4.417829,-4.524768,0.10981981,0.14622435,970.08,0.8661,Gradual Build,10.0
19,-0.00842577,-4.290221,-4.662031,0.11705512,0.14591214,785.25,1.5278,Gradual Build,10.0
20,0.10490996,-4.365100,-4.666080,0.11275364,0.13629523,960.12,0.6678,Gradual Build,10.0
21,0.11226392,-4.532895,-4.654398,0.10367984,0.13421009,949.78,0.5744,Gradual Build,10.0
22,0.00090720,-4.417330,-4.748425,0.10984721,0.12234649,772.47,1.5684,Gradual Build,10.0
23,-0.05851826,-4.278471,-4.835934,0.11774480,0.12249895,962.16,1.2182,Gradual Build,10.0
24,0.07363666,-4.229953,-4.916450,0.12063614,0.11939679,961.98,1.0402,Gradual Build,10.0
25,0.23798746,-4.239853,-4.538929,0.12004045,0.13740531,629.20,-1.0865,Gradual Build,10.0
26,-0.04178239,-4.284508,-4.572253,0.11738993,0.13174289,943.89,1.2856,Gradual Build,10.0
27,0.00765827,-4.296447,-4.674001,0.11669126,0.12857932,765.00,1.5379,Gradual Build,10.0
28,0.05242150,-4.325396,-4.766720,0.11501442,0.12298904,961.34,1.2602,Gradual Build,10.0
29,-0.23108031,-4.601646,-4.474273,0.10017636,0.14074060,679.13,-0.9312,Gradual Build,10.0
30,0.06254742,-4.529793,-4.519094,0.10384077,0.13532987,963.97,1.1010,Gradual Build,10.0
31,-0.03834680,-4.670906,-4.624528,0.09676664,0.13887942,939.85,1.3188,Gradual Build,10.0
32,-0.00363399,-5.021499,-4.782093,0.08120736,0.12697320,616.03,1.6103,Gradual Build,10.0
33,0.01363869,-5.135950,-4.886911,0.07669068,0.11966484,838.50,1.5973,Gradual Build,10.0
34,-0.14466546,-5.139891,-4.778688,0.07653971,0.11768784,873.74,0.0605,Gradual Build,10.0
35,0.01373284,-4.980750,-4.831315,0.08287888,0.11635364,882.51,1.5622,Gradual Build,10.0
36,0.10918595,-4.869918,-4.838670,0.08760134,0.11630067,937.59,0.5664,Gradual Build,10.0
37,0.18329908,-4.792542,-4.630762,0.09105690,0.12799937,787.26,-0.4336,Gradual Build,10.0
38,0.03434294,-4.779099,-4.682275,0.09167098,0.12484553,928.43,1.3897,Gradual Build,10.0
39,0.00241976,-4.526918,-4.766807,0.10399016,0.11859237,802.57,1.5786,Gradual Build,10.0
