t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,-0.09031451,-4.232827,-4.648717,0.12046291,0.13299072,942.16,0.7898,Sustained Chaos,12.0
1,-0.12529875,-4.187922,-4.635507,0.12319815,0.16199446,889.76,0.3358,Sustained Chaos,12.0
2,0.04825990,-4.204450,-4.732744,0.12218425,0.18938008,914.25,1.2381,Sustained Chaos,12.0
3,-0.02400347,-4.285228,-4.811118,0.11734771,0.17893320,851.64,1.4988,Sustained Chaos,12.0
4,-0.20223291,-4.276827,-4.435970,0.11784166,0.19389719,732.00,-0.5783,Sustained Chaos,12.0
5,-0.14148019,-4.190691,-4.338724,0.12302776,0.18528141,882.16,0.2199,Sustained Chaos,12.0
6,0.06396173,-4.146093,-4.431217,0.12580195,0.19329707,923.03,1.0323,Sustained Chaos,12.0
7,-0.04948103,-4.159731,-4.493660,0.12494699,0.22313526,901.46,1.1895,Sustained Chaos,12.0
8,-0.06504301,-3.912769,-4.604619,0.14136860,0.21455425,907.57,1.0487,Sustained Chaos,12.0
9,0.00740878,-4.010690,-4.752330,0.13461386,0.20762433,631.35,1.6865,Sustained Chaos,12.0
10,0.17549770,-4.276225,-4.544805,0.11787715,0.21582504,760.99,-0.3573,Sustained Chaos,12.0
11,-0.05797553,-4.130073,-4.612575,0.12681365,0.22147360,918.91,1.1347,Sustained Chaos,12.0
12,0.06370429,-4.156091,-4.674251,0.12517464,0.24125044,920.87,1.0914,Sustained Chaos,12.0
13,0.21958689,-4.091926,-4.360483,0.12925568,0.23571905,675.83,-0.8227,Sustained Chaos,12.0
14,0.23532712,-4.306314,-4.087480,0.11611697,0.24657971,734.38,-0.7172,Sustained Chaos,12.0
15,-0.01074646,-4.139037,-4.250865,0.12624657,0.25002280,629.95,1.3955,Sustained Chaos,12.0
16,0.07298527,-4.009703,-4.278959,0.13468032,0.22241390,907.63,0.9080,Sustained Chaos,12.0
17,-0.07373401,-4.176463,-4.372656,0.12390606,0.21010296,916.52,0.9202,Sustained Chaos,12.0
18,0.18704626,-4.284095,-4.249359,0.11741420,0.20673044,806.85,-0.2973,Sustained Chaos,12.0
19,0.22644079,-4.414442,-4.069330,0.11000595,0.24370570,764.46,-0.5992,Sustained Chaos,12.0
20,-0.00665118,-4.246927,-4.212062,0.11961663,0.23433858,528.51,1.4324,Sustained Chaos,12.0
21,0.12500092,-4.038650,-4.227826,0.13274504,0.24003413,894.83,0.4104,Sustained Chaos,12.0
22,0.04160840,-4.016768,-4.299935,0.13420537,0.24534835,873.20,1.1697,Sustained Chaos,12.0
23,-0.12682234,-3.897467,-4.257915,0.14245440,0.24269712,884.12,0.3517,Sustained Chaos,12.0
24,-0.22431847,-3.612631,-4.070573,0.16425827,0.23317987,748.63,-0.6152,Sustained Chaos,12.0
25,0.03366251,-3.626377,-4.209561,0.16313317,0.23932348,856.07,1.2094,Sustained Chaos,12.0
26,-0.12956147,-3.694907,-4.215953,0.15763810,0.23499405,894.70,0.3557,Sustained Chaos,12.0
27,0.01987890,-3.690292,-4.324387,0.15800223,0.22736377,805.56,1.3589,Sustained Chaos,12.0
