t,y_t,h_mean,vol,ess,loglik,scenario,sigma
0,-0.00922176,-4.685986,0.13303150,380.80,1.5130,Flash Crash,5.0
1,-0.01222200,-4.760600,0.16229782,384.16,1.5565,Flash Crash,5.0
2,-0.01179897,-4.767673,0.24598773,334.05,1.6444,Flash Crash,5.0
3,0.00548777,-4.835857,0.29785967,235.13,1.8514,Flash Crash,5.0
4,-0.00519403,-4.931317,0.33394837,232.90,1.9461,Flash Crash,5.0
5,-0.00621213,-4.977974,0.37000003,265.41,1.9637,Flash Crash,5.0
6,-0.00553399,-4.996814,0.37480462,248.89,2.0927,Flash Crash,5.0
7,-0.00809758,-5.143407,0.37526432,294.86,2.0881,Flash Crash,5.0
8,0.01741499,-5.237112,0.35410133,364.20,1.8811,Flash Crash,5.0
9,0.00390268,-5.393925,0.30025247,258.68,2.3296,Flash Crash,5.0
10,0.01398928,-5.488827,0.24612430,358.63,2.1083,Flash Crash,5.0
11,0.01587582,-5.645206,0.17012733,369.74,2.0821,Flash Crash,5.0
12,0.00500691,-5.776612,0.18369925,325.88,2.3307,Flash Crash,5.0
13,0.00304016,-5.918430,0.16220881,266.30,2.4628,Flash Crash,5.0
14,0.00347305,-5.994626,0.19197047,304.04,2.4497,Flash Crash,5.0
15,-0.01074991,-6.029907,0.24930139,368.05,2.2925,Flash Crash,5.0
16,0.01435555,-6.090517,0.28767112,381.70,2.2126,Flash Crash,5.0
17,-0.00297723,-6.126169,0.24042168,286.70,2.6302,Flash Crash,5.0
18,-0.00220992,-6.274194,0.16896886,275.78,2.6929,Flash Crash,5.0
19,-0.00228240,-6.377001,0.15508679,255.75,2.7261,Flash Crash,5.0
20,-0.00242352,-6.521390,0.11766245,306.38,2.6879,Flash Crash,5.0
21,-0.00666936,-6.673201,0.08814877,382.82,2.5899,Flash Crash,5.0
22,0.00674724,-6.717779,0.10573532,387.29,2.5815,Flash Crash,5.0
23,0.01607554,-6.668669,0.16856143,418.38,2.2913,Flash Crash,5.0
24,-0.00013201,-6.694592,0.19659306,93.87,3.0030,Flash Crash,5.0
25,0.00820555,-6.684559,0.18029001,384.33,2.5969,Flash Crash,5.0
26,-0.00412222,-6.714226,0.18002835,342.15,2.7749,Flash Crash,5.0
27,0.00030196,-6.721526,0.18897121,84.78,3.1255,Flash Crash,5.0
28,0.01772775,-6.642227,0.18717235,399.68,2.1887,Flash Crash,5.0
29,0.01013387,-6.662789,0.18225735,387.54,2.5720,Flash Crash,5.0
30,0.00272993,-6.773617,0.23184542,331.40,2.8485,Flash Crash,5.0
31,0.00074558,-6.869187,0.24079311,210.03,3.0903,Flash Crash,5.0
32,-0.01264959,-6.861337,0.23972595,399.87,2.5095,Flash Crash,5.0
33,0.00052289,-6.921325,0.20177883,149.48,3.1554,Flash Crash,5.0
34,-0.00596415,-6.934019,0.18061134,359.14,2.8287,Flash Crash,5.0
35,-0.01760940,-6.840080,0.14424822,410.22,2.2094,Flash Crash,5.0
36,0.00669225,-6.942525,0.13820323,369.63,2.7872,Flash Crash,5.0
37,-0.00447449,-6.991519,0.15358666,352.26,2.9193,Flash Crash,5.0
38,-0.00041104,-7.029077,0.20353335,113.26,3.2987,Flash Crash,5.0
39,0.00030048,-7.178846,0.16037235,114.89,3.3500,Flash Crash,5.0
40,-0.02409631,-7.076147,0.10075986,421.29,1.8926,Flash Crash,5.0
41,-0.01113645,-7.111846,0.12128392,404.39,2.5959,Flash Crash,5.0
42,-0.01113012,-7.085322,0.15353245,411.04,2.6283,Flash Crash,5.0
43,0.00682325,-7.094965,0.13664158,383.52,2.8045,Flash Crash,5.0
44,-0.00921595,-7.080369,0.16960204,393.11,2.7087,Flash Crash,5.0
45,0.00076044,-7.098554,0.22924951,164.83,3.2167,Flash Crash,5.0
46,0.00776522,-7.049107,0.21396235,384.03,2.8159,Flash Crash,5.0
47,0.00142475,-7.115378,0.19574478,282.04,3.1329,Flash Crash,5.0
48,0.01406526,-7.047596,0.22683573,389.30,2.4028,Flash Crash,5.0
49,0.00421886,-7.081813,0.17781335,357.65,2.9700,Flash Crash,5.0
50,-0.05000000,-6.599547,0.19055864,318.86,0.7508,Flash Crash,5.0
51,0.04000000,-6.566442,0.16711906,369.67,1.2201,Flash Crash,5.0
52,-0.01500000,-6.610780,0.17380677,403.75,2.2749,Flash Crash,5.0
53,0.01057305,-6.709437,0.12540945,400.70,2.4964,Flash Crash,5.0
54,-0.05328951,-6.374439,0.15888458,375.94,0.8949,Flash Crash,5.0
55,0.02692149,-6.379180,0.15326837,423.14,1.8660,Flash Crash,5.0
56,-0.06536762,-6.113626,0.19802532,370.53,0.6186,Flash Crash,5.0
57,0.01086999,-6.290543,0.14868930,383.13,2.3207,Flash Crash,5.0
58,0.04610423,-6.114879,0.16742440,410.57,1.2337,Flash Crash,5.0
59,0.01877502,-6.151653,0.16494003,413.70,2.0705,Flash Crash,5.0
60,0.00166651,-6.217632,0.15306512,281.26,2.5800,Flash Crash,5.0
61,-0.01428181,-6.243587,0.21375580,405.82,2.2629,Flash Crash,5.0
62,0.03766432,-6.178800,0.23153263,417.92,1.4787,Flash Crash,5.0
63,-0.04904477,-6.055012,0.22829306,399.32,1.1193,Flash Crash,5.0
64,-0.07094226,-5.868541,0.22391275,359.33,0.5658,Flash Crash,5.0
65,0.04574220,-5.898898,0.16584578,407.35,1.2808,Flash Crash,5.0
66,0.00140144,-6.030281,0.15875554,204.71,2.5307,Flash Crash,5.0
