t,y_t,h_mean,vol,ess,loglik,scenario,sigma
0,-0.00922176,-4.685986,0.13303150,380.80,1.5130,Flash Crash,30.0
1,-0.01222200,-4.760600,0.16229782,384.16,1.5565,Flash Crash,30.0
2,-0.01179897,-4.767673,0.24598773,334.05,1.6444,Flash Crash,30.0
3,0.00548777,-4.835857,0.29785967,235.13,1.8514,Flash Crash,30.0
4,-0.00519403,-4.931317,0.33394837,232.90,1.9461,Flash Crash,30.0
5,-0.00621213,-4.977974,0.37000003,265.41,1.9637,Flash Crash,30.0
6,-0.00553399,-4.996814,0.37480462,248.89,2.0927,Flash Crash,30.0
7,-0.00809758,-5.143407,0.37526432,294.86,2.0881,Flash Crash,30.0
8,0.01741499,-5.237112,0.35410133,364.20,1.8811,Flash Crash,30.0
9,0.00390268,-5.393925,0.30025247,258.68,2.3296,Flash Crash,30.0
10,0.01398928,-5.488827,0.24612430,358.63,2.1083,Flash Crash,30.0
11,0.01587582,-5.645206,0.17012733,369.74,2.0821,Flash Crash,30.0
12,0.00500691,-5.776612,0.18369925,325.88,2.3307,Flash Crash,30.0
13,0.00304016,-5.918430,0.16220881,266.30,2.4628,Flash Crash,30.0
14,0.00347305,-5.994626,0.19197047,304.04,2.4497,Flash Crash,30.0
15,-0.01074991,-6.029907,0.24930139,368.05,2.2925,Flash Crash,30.0
16,0.01435555,-6.090517,0.28767112,381.70,2.2126,Flash Crash,30.0
17,-0.00297723,-6.126169,0.24042168,286.70,2.6302,Flash Crash,30.0
18,-0.00220992,-6.274194,0.16896886,275.78,2.6929,Flash Crash,30.0
19,-0.00228240,-6.377001,0.15508679,255.75,2.7261,Flash Crash,30.0
20,-0.00242352,-6.521390,0.11766245,306.38,2.6879,Flash Crash,30.0
21,-0.00666936,-6.673201,0.08814877,382.82,2.5899,Flash Crash,30.0
22,0.00674724,-6.717779,0.10573532,387.29,2.5815,Flash Crash,30.0
23,0.01607554,-6.668669,0.16856143,418.38,2.2913,Flash Crash,30.0
24,-0.00013201,-6.694592,0.19659306,93.87,3.0030,Flash Crash,30.0
25,0.00820555,-6.684559,0.18029001,384.33,2.5969,Flash Crash,30.0
26,-0.00412222,-6.714226,0.18002835,342.15,2.7749,Flash Crash,30.0
27,0.00030196,-6.721526,0.18897121,84.78,3.1255,Flash Crash,30.0
28,0.01772775,-6.642227,0.18717235,399.68,2.1887,Flash Crash,30.0
29,0.01013387,-6.662789,0.18225735,387.54,2.5720,Flash Crash,30.0
30,0.00272993,-6.773617,0.23184542,331.40,2.8485,Flash Crash,30.0
31,0.00074558,-6.869187,0.24079311,210.03,3.0903,Flash Crash,30.0
32,-0.01264959,-6.861337,0.23972595,399.87,2.5095,Flash Crash,30.0
33,0.00052289,-6.921325,0.20177883,149.48,3.1554,Flash Crash,30.0
34,-0.00596415,-6.934019,0.18061134,359.14,2.8287,Flash Crash,30.0
35,-0.01760940,-6.840080,0.14424822,410.22,2.2094,Flash Crash,30.0
36,0.00669225,-6.942525,0.13820323,369.63,2.7872,Flash Crash,30.0
37,-0.00447449,-6.991519,0.15358666,352.26,2.9193,Flash Crash,30.0
38,-0.00041104,-7.029077,0.20353335,113.26,3.2987,Flash Crash,30.0
