t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,0.02604190,-4.613964,-4.636868,0.09956130,0.14189136,902.15,1.3858,Gradual Build,30.0
1,-0.05279415,-4.670694,-4.673193,0.09677688,0.18188208,916.85,1.1803,Gradual Build,30.0
2,0.04018157,-4.546346,-4.698174,0.10298488,0.20000562,886.90,1.3072,Gradual Build,30.0
3,0.13479710,-4.575062,-4.555848,0.10151678,0.22595762,844.76,0.1425,Gradual Build,30.0
4,-0.08957040,-4.599176,-4.526856,0.10030016,0.24981314,873.69,0.7218,Gradual Build,30.0
5,0.00985326,-4.605614,-4.616941,0.09997783,0.26789504,625.52,1.6522,Gradual Build,30.0
6,-0.04697738,-4.660737,-4.677316,0.09725992,0.29892111,856.07,1.2202,Gradual Build,30.0
7,0.05716880,-4.746945,-4.687500,0.09315668,0.28140014,856.77,1.1024,Gradual Build,30.0
8,-0.00981256,-4.443438,-4.845870,0.10842259,0.27664879,691.72,1.7423,Gradual Build,30.0
9,0.01195866,-4.564391,-4.980915,0.10205991,0.31345803,726.54,1.7775,Gradual Build,30.0
10,-0.01130378,-4.622630,-5.073948,0.09913082,0.29730397,733.07,1.8493,Gradual Build,30.0
11,-0.14293094,-4.796311,-4.710541,0.09088542,0.32688791,724.89,-0.2475,Gradual Build,30.0
12,-0.11190570,-4.979740,-4.636260,0.08292076,0.32081980,818.42,0.3196,Gradual Build,30.0
13,0.00400597,-4.704823,-4.779799,0.09513946,0.31478566,420.72,1.9059,Gradual Build,30.0
14,0.26724172,-4.666202,-4.037454,0.09699452,0.35277593,539.57,-1.2725,Gradual Build,30.0
15,-0.10338074,-4.503857,-4.094967,0.10519615,0.29626602,858.27,0.5554,Gradual Build,30.0
16,0.06880877,-4.426855,-4.243253,0.10932531,0.30616653,871.17,0.9129,Gradual Build,30.0
17,-0.08162511,-4.460355,-4.278122,0.10750936,0.29882717,874.90,0.8067,Gradual Build,30.0
18,0.08862256,-4.417829,-4.346452,0.10981981,0.30745637,867.26,0.7246,Gradual Build,30.0
19,-0.00842577,-4.290221,-4.576490,0.11705512,0.27911752,617.34,1.6626,Gradual Build,30.0
20,0.10490996,-4.365100,-4.480763,0.11275364,0.26579309,864.17,0.5113,Gradual Build,30.0
21,0.11226392,-4.532895,-4.454854,0.10367984,0.27341896,857.60,0.4282,Gradual Build,30.0
22,0.00090720,-4.417330,-4.642216,0.10984721,0.28737694,180.61,1.9225,Gradual Build,30.0
23,-0.05851826,-4.278471,-4.650727,0.11774480,0.31964546,851.05,1.0939,Gradual Build,30.0
24,0.07363666,-4.229953,-4.669110,0.12063614,0.32068238,846.69,0.8999,Gradual Build,30.0
25,0.23798746,-4.239853,-4.141139,0.12004045,0.37020427,598.97,-1.1130,Gradual Build,30.0
26,-0.04178239,-4.284508,-4.330520,0.11738993,0.29881939,830.47,1.1817,Gradual Build,30.0
